Device Name,Device Type,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),"Energy Efficiency%

Col U(Power Output)/Col V(Power Input)","Power Consumption Ratio(W/MB)

Col  V(Power Input) / Col AC(Data Traffic Consumed(MB))
Note: Power used per input traffic.",Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),"Data Traffic Allocated (MB)","Data Throughput per Watt (MB/W)",
"DataTraffic Utilization%","Carbon Emission (kgCO₂)",Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message
SAKILNBLD6301FG01,cisco_ios,FCW2234G13N,C9300-24P,10.70.100.105,Jebel Ali,45,23,22,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,3000,5640,53.19,0.0028,1177685386,904805681,1340853.917,694771.681,2035625.597,1987.916,12069000,360.927,16.866564,1.2123,0.0012,,,,,,,,Successfully connected to device.
SACH1WB3G01,cisco_ios,FOC2234X13L,C9300-24P,10.10.100.30,Jebel Ali,45,8,37,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/19, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2986,5640,52.94,1.0332,5581294,4803737,3225.888,2232.669,5458.557,5.331,5944500,0.968,0.091825,1.2066,0.0012,,,,,,,,Successfully connected to device.
SAWH7025G01,cisco_ios,FOC2234U13X,C9300-24P,10.10.100.18,Jebel Ali,45,17,28,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/12, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/19, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2980,5640,52.84,0.097,62476033,46849614,35805.85,22341.35,58147.2,56.784,11529000,10.31,0.504356,1.2042,0.0012,,,,,,,,Successfully connected to device.
PL.5827.PL7.GF.A-ASW,cisco_ios,FOC2236Z0AQ,C9300-24P,10.60.100.43,Jebel Ali,44,23,21,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2978,5640,52.8,0.1976,30580446,35290997,13942.003,14603.02,28545.023,27.876,13770000,5.061,0.207299,1.2034,0.0012,,,,,,,,Successfully connected to device.
PL.576A.PL5.GF.A-ASW,cisco_ios,FCW2237L0R6,C9300-24P,10.60.100.41,Jebel Ali,44,15,29,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/19, GigabitEthernet1/0/21, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2976,5640,52.77,0.2381,23648823,24657220,11769.953,11920.829,23690.782,23.136,7380000,4.2,0.321013,1.2026,0.0012,,,,,,,,Successfully connected to device.
SACH1MAINT701MG01,cisco_ios,FCW2230E0S3,C9300-24P,10.10.100.27,Jebel Ali,45,16,29,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2976,5640,52.77,0.3004,25400619,20981791,10966.11,7810.988,18777.098,18.337,9819000,3.329,0.191232,1.2026,0.0012,,,,,,,,Successfully connected to device.
SACH1MOULDSHP720G01,cisco_ios,FCW2234C12N,C9300-24P,10.10.100.24,Jebel Ali,45,13,32,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2976,5640,52.77,0.1764,33727778,28262374,18631.011,13338.387,31969.398,31.22,12150000,5.668,0.263123,1.2026,0.0012,,,,,,,,Successfully connected to device.
SAWH2ADMING01,cisco_ios,FCW2236D0L0,C9300-24P,10.60.100.30,Jebel Ali,44,16,28,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/9, GigabitEthernet1/0/15, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2976,5640,52.77,0.1853,27022141,27884883,15153.193,15279.175,30432.367,29.719,9900000,5.396,0.307398,1.2026,0.0012,,,,,,,,Successfully connected to device.
SAELECTMKTCS38,cisco_ios,FCW2233L0FK,C9300-48U,10.30.100.16,Jebel Ali,151,38,113,48,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/4, GigabitEthernet1/0/7, GigabitEthernet1/0/14, GigabitEthernet1/0/16, GigabitEthernet1/0/23, GigabitEthernet1/0/27, GigabitEthernet1/0/30, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/39, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/7, GigabitEthernet2/0/12, GigabitEthernet2/0/17, GigabitEthernet2/0/21, AppGigabitEthernet2/0/1, GigabitEthernet3/0/3, GigabitEthernet3/0/5, GigabitEthernet3/0/11, GigabitEthernet3/0/12, GigabitEthernet3/0/21, GigabitEthernet3/0/22, GigabitEthernet3/0/23, GigabitEthernet3/0/24, TenGigabitEthernet3/1/1, AppGigabitEthernet3/0/1, Port-channel1","2 Virtual, 108 Gigabit, 24 TenGigabit, 6 TwentyFiveGigabit, 6 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,"PWR-C1-1100WAC,PWR-C1-715WAC",3630,9024,17112,52.73,0.1937,92966905,72146252,52930.566,35420.659,88351.224,86.28,27360000,5.163,0.322921,3.6466,0.0036,,,,,,,,Successfully connected to device.
SDPWR420G01,cisco_ios,FCW2234D10D,C9300-48U,10.70.100.100,Jebel Ali,69,22,47,48,"Vlan100, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/25, GigabitEthernet1/0/26, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/29, GigabitEthernet1/0/30, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/46, GigabitEthernet1/0/47, GigabitEthernet1/1/1, GigabitEthernet1/1/3, GigabitEthernet1/1/4, AppGigabitEthernet1/0/1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3075,5832,52.73,0.2487,23016153,22004665,11563.952,11888.678,23452.63,22.903,18540000,4.021,0.126497,1.2426,0.0012,,,,,,,,Successfully connected to device.
SAFSCOMPG01,cisco_ios,FCW2234C1BR,C9300-24P,10.30.100.212,Jebel Ali,45,16,29,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2974,5640,52.73,0.0936,57203115,37220700,37996.543,22273.226,60269.768,58.857,9990000,10.686,0.603301,1.2018,0.0012,,,,,,,,Successfully connected to device.
PL.5016.PL9.GF.A-ASW1-2,cisco_ios,FCW2236L088,C9300-24P,10.60.100.45,Jebel Ali,44,13,31,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/14, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2974,5640,52.73,0.3419,21066278,21423351,8218.453,8278.752,16497.205,16.111,8010000,2.925,0.205958,1.2018,0.0012,,,,,,,,Successfully connected to device.
SACH2SAWF7018G01,cisco_ios,FCW2234C119,C9300-24P,10.20.100.28,Jebel Ali,45,9,36,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/5, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2966,5640,52.59,0.3926,17630442,15719620,8149.137,6218.116,14367.254,14.031,5310000,2.547,0.27057,1.1986,0.0012,,,,,,,,Successfully connected to device.
SAPL7CRANEG01,cisco_ios,FCW2236G0GS,C9300-24P,10.60.100.22,Jebel Ali,44,12,32,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2966,5640,52.59,0.2948,19887343,20282966,9495.087,9634.105,19129.192,18.681,9540000,3.392,0.200516,1.1986,0.0012,,,,,,,,Successfully connected to device.
SACH1IC1G01,cisco_ios,FCW2234L0RD,C9300-24P,10.10.100.37,Jebel Ali,45,8,37,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2955,5640,52.39,0.7197,10461577,9419259,4558.514,3277.899,7836.413,7.653,5130000,1.389,0.152757,1.1941,0.0012,,,,,,,,Successfully connected to device.
SACH3OPTROOM,cisco_ios,FOC2234Z0DS,C9300-24P,10.20.100.43,Jebel Ali,45,8,37,24,"Vlan200, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/7, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2954,5640,52.38,1.2841,6656998,8246378,2481.141,1911.197,4392.339,4.289,4320000,0.779,0.101675,1.1937,0.0012,,,,,,,,Successfully connected to device.
JCEUXSTCH3SUPROOM,cisco_ios,FOC2234Z0B7,C9300-24P,10.20.100.12,Jebel Ali,45,13,32,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/12, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2952,5640,52.34,0.4849,17117727,15153012,6550.717,5079.406,11630.122,11.358,8010000,2.062,0.145195,1.1929,0.0012,,,,,,,,Successfully connected to device.
SACH1701GAUTSHIG01,cisco_ios,FCW2234G0SU,C9300-24P,10.10.100.19,Jebel Ali,45,9,36,24,"Vlan100, GigabitEthernet1/0/4, GigabitEthernet1/0/7, GigabitEthernet1/0/18, GigabitEthernet1/0/19, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2949,5640,52.29,0.5196,13230796,11787312,6485.821,4368.253,10854.074,10.6,6120000,1.924,0.177354,1.1917,0.0012,,,,,,,,Successfully connected to device.
PL.527.PL1.GF.A-ASW1,cisco_ios,FCW2236D0JL,C9300-24P,10.60.100.35,Jebel Ali,44,5,39,24,"Vlan100, GigabitEthernet1/0/5, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2949,5640,52.29,0.3469,18004577,18291548,8092.364,8167.359,16259.723,15.879,2430000,2.883,0.669124,1.1917,0.0012,,,,,,,,Successfully connected to device.
SACH2SAWE7017G01,cisco_ios,FCW2234C0YT,C9300-24P,10.20.100.29,Jebel Ali,45,9,36,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/5, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2946,5640,52.23,0.826,11103584,9294819,3911.311,2916.656,6827.967,6.668,6120000,1.211,0.111568,1.1905,0.0012,,,,,,,,Successfully connected to device.
SACH1SUPVR701PG01,cisco_ios,FCW2232C0MF,C9300-24P,10.10.100.20,Jebel Ali,45,25,20,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/1/1, GigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2944,5640,52.2,0.0175,356021532,315323638,183573.684,138362.023,321935.707,314.39,15660000,57.081,2.055784,1.1897,0.0012,,,,,,,,Successfully connected to device.
SACH1701HU1SSG01,cisco_ios,FCW2234L0VN,C9300-24P,10.10.100.16,Jebel Ali,45,7,38,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2943,5640,52.18,0.5058,10325405,8681508,5704.301,5447.072,11151.374,10.89,5130000,1.977,0.217376,1.1893,0.0012,,,,,,,,Successfully connected to device.
JCEUXSTPL95306GNDR01,cisco_ios,FOC2230Q09T,C9300-24P,10.60.100.52,Jebel Ali,44,8,36,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/6, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2943,5640,52.18,0.4155,10745310,10555001,6794.314,6778.151,13572.465,13.254,4239000,2.406,0.320181,1.1893,0.0012,,,,,,,,Successfully connected to device.
SADOCKCNTRG01,cisco_ios,FCW2234D13D,C9300-24P,10.70.100.34,Jebel Ali,88,24,64,24,"Vlan51, Vlan52, Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/4, GigabitEthernet2/0/24, TenGigabitEthernet2/1/1, TenGigabitEthernet2/1/2, AppGigabitEthernet2/0/1, Port-channel1","4 Virtual, 56 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-715WAC,2860,5880,11280,52.13,0.0502,214142313,168437326,135479.778,89436.885,224916.663,219.645,19530000,19.939,1.151647,2.3761,0.0024,,,,,,,,Successfully connected to device.
SACH1DC3G01,cisco_ios,FOC2234Z0B4,C9300-24P,10.10.100.36,Jebel Ali,45,10,35,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2938,5640,52.09,0.2694,20552326,17257934,12714.957,8218.001,20932.958,20.442,7020000,3.712,0.29819,1.1872,0.0012,,,,,,,,Successfully connected to device.
SABLD420AG01,cisco_ios,FCW2234L14D,C9300-24P,10.70.100.13,Jebel Ali,45,13,32,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/8, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/20, GigabitEthernet1/0/22, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2928,5640,51.91,0.0259,163909862,166139238,108500.732,108912.383,217413.115,212.317,8820000,38.548,2.465001,1.1832,0.0012,,,,,,,,Successfully connected to device.
SACH2BUNKERG01,cisco_ios,FCW2234C11C,C9300-24P,10.20.100.31,Jebel Ali,45,5,40,24,"Vlan200, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2928,5640,51.91,0.441,13628889,8215285,8261.413,4526.929,12788.343,12.489,4050000,2.267,0.315762,1.1832,0.0012,,,,,,,,Successfully connected to device.
SADESALMSHOPG01,cisco_ios,FOC2234Z0BA,C9300-24P,10.70.100.26,Jebel Ali,45,18,27,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/20, GigabitEthernet1/0/22, GigabitEthernet1/0/24, GigabitEthernet1/1/3, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2928,5640,51.91,0.0694,53774083,54047348,40618.78,40599.359,81218.139,79.315,11619000,14.4,0.699011,1.1832,0.0012,,,,,,,,Successfully connected to device.
SACH2SUPOFG01,cisco_ios,FOC2234U17U,C9300-24P,10.20.100.11,Jebel Ali,44,18,26,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2928,5640,51.91,0.0593,76117393,77583589,47507.249,47595.46,95102.708,92.874,9999000,16.862,0.951122,1.1832,0.0012,,,,,,,,Successfully connected to device.
SACH2IC3BG01,cisco_ios,FOC2234U17K,C9300-24P,10.20.100.57,Jebel Ali,45,7,38,24,"Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-715WAC",715,2928,5640,51.91,1.3709,5724605,4042820,2476.52,1637.707,4114.226,4.018,3420000,0.729,0.120299,1.1832,0.0012,,,,,,,,Successfully connected to device.
SABLD420AG02,cisco_ios,FOC2236Q082,C9300-24P,10.70.100.106,Jebel Ali,86,31,55,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/4, GigabitEthernet1/0/7, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/3, GigabitEthernet2/0/4, GigabitEthernet2/0/6, GigabitEthernet2/0/7, GigabitEthernet2/0/8, GigabitEthernet2/0/10, GigabitEthernet2/0/13, GigabitEthernet2/0/15, GigabitEthernet2/0/16, GigabitEthernet2/0/18, GigabitEthernet2/0/21, GigabitEthernet2/0/24, AppGigabitEthernet2/0/1","2 Virtual, 56 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,2,2,Standalone,Power sharing,4,PWR-C1-715WAC,2860,5856,11280,51.91,0.0948,94603258,97182803,59396.734,59533.728,118930.462,116.143,23400000,10.543,0.50825,2.3664,0.0024,,,,,,,,Successfully connected to device.
